feature,importance_mean,importance_std
grid_position,0.022372881355932194,0.00672862143772177
avg_grid_pos,0.017796610169491512,0.006409379797013245
Q2_sec,0.012881355932203364,0.00581975752996253
weighted_overtakes_per_lap,0.012796610169491495,0.005161149145283095
grid_diff,0.008305084745762702,0.004835709361927848
Q1_sec,0.007288135593220324,0.003152724616565803
finish_rate_prev5,0.005932203389830493,0.002143917057741253
team_qual_gap,-0.00016949152542374834,0.0013559322033898133
ewma_overtakes_per_lap,-0.0013559322033898536,0.0043740636951064065
Q3_sec,-0.0040677966101695055,0.0015534154898155352
avg_const_finish,-0.0044915254237288035,0.001369109696729092
weighted_overtakes,-0.004491525423728837,0.003790893092600868
circuit_country,-0.00483050847457629,0.0032613358313379566
ewma_weighted_overtakes_per_lap,-0.005169491525423742,0.003399351037310446
avg_finish_pos,-0.00669491525423731,0.005338983050847468
month,-0.006864406779661025,0.0026380309180124616
overtakes_per_lap,-0.008389830508474593,0.0056398925871100885
circuit_city,-0.0086440677966102,0.002701250415340532
Q3_diff,-0.008728813559322045,0.0022755460308639787
