feature,importance_mean,importance_std
grid_position,0.04686440677966095,0.0039029081151421793
avg_grid_pos,0.03245762711864401,0.0033482620788370344
grid_diff,0.021525423728813498,0.002658370701925113
avg_finish_pos,0.012118644067796568,0.0034951848520849544
finish_rate_prev5,0.007457627118644006,0.001643281307598764
avg_const_finish,0.006355932203389769,0.0017054755760591636
team_qual_gap,0.0042372881355931535,0.004028767567459226
month,0.003135593220338928,0.0015649309586965477
circuit_city,0.002542372881355881,0.0015159782898303729
weighted_overtakes_per_lap,0.0019491525423728229,0.0014205978486644105
overtakes_per_lap,0.0016101694915253706,0.0018352887989582685
circuit_country,0.0014406779661016444,0.0013156080251067591
Q1_sec,0.00016949152542369283,0.0006341792180972623
Q3_sec,-0.00016949152542377054,0.0010584742370166895
Q2_sec,-0.00025423728813560585,0.000388353872453904
Q3_diff,-0.0005084745762712117,0.0005621397949755195
weighted_overtakes,-0.0005932203389830803,0.001420597848664429
ewma_weighted_overtakes_per_lap,-0.0024576271186441123,0.0007994899264454711
ewma_overtakes_per_lap,-0.002711864406779718,0.0010584742370166628
