Metric,Value
CV ROC AUC,0.9304053834551571
Test ROC AUC,0.9339001225490196
Mean Abs Error,0.14697357587418952
PR AUC,0.6698086352383723
LC 24 Train ROC AUC,1.0
LC 24 Val ROC AUC,0.8479718707406334
LC 78 Train ROC AUC,1.0
LC 78 Val ROC AUC,0.8953595039548385
LC 132 Train ROC AUC,1.0
LC 132 Val ROC AUC,0.9238651974199641
LC 186 Train ROC AUC,1.0
LC 186 Val ROC AUC,0.9219245360979642
LC 240 Train ROC AUC,1.0
LC 240 Val ROC AUC,0.9082117904633117
