Metric,Value
CV ROC AUC,0.929420780770234
Test ROC AUC,0.9289476204155893
Mean Abs Error,0.15241177380084991
PR AUC,0.6466140369578391
LC 88 Train ROC AUC,0.5
LC 88 Val ROC AUC,0.5
LC 286 Train ROC AUC,0.9711387736284001
LC 286 Val ROC AUC,0.9170270268302193
LC 484 Train ROC AUC,0.970336189848385
LC 484 Val ROC AUC,0.9208506998037731
LC 682 Train ROC AUC,0.9781019410030505
LC 682 Val ROC AUC,0.9191612892728347
LC 880 Train ROC AUC,0.9845446443040027
LC 880 Val ROC AUC,0.9067403695917526
