feature,importance_mean,importance_std
grid_position,0.08127118644067793,0.006470159998856397
circuit_country,0.004915254237288102,0.001887377750111896
head_to_head_vs_teammate,0.004661016949152497,0.0010885790320902717
team_qual_gap,0.004067796610169427,0.0024503105584408407
Q3_sec,0.0038983050847457234,0.0010169491525423735
Q2_sec,0.0032203389830507967,0.0015534154898155267
tyre_degradation_rate,0.003135593220338928,0.001315608025106792
circuit_city,0.002796610169491465,0.0013156080251067713
overtakes_per_lap,0.002711864406779607,0.0016432813075987595
weighted_overtakes_per_lap,0.0015254237288135132,0.0010584742370166574
ewma_weighted_overtakes_per_lap,0.0010169491525423458,0.0011864406779660767
weighted_overtakes,0.000932203389830466,0.0009625268382712201
Q1_sec,0.0008474576271185974,0.0007579891449151833
month,0.0005932203389830027,0.0006618855657547902
ewma_overtakes_per_lap,0.0005084745762711451,0.001268358436194535
num_pitstops,0.000508474576271134,0.001525423728813556
avg_pitstop_duration,8.474576271184641e-05,0.00045636989890968934
Q3_diff,0.0,0.0
grid_diff,0.0,0.0
circuit_top3_freq,-0.0011016949152542921,0.0006618855657548341
qual_delta,-0.0020338983050847913,0.002491006518084602
avg_finish_pos,-0.0020338983050848026,0.004551092061727977
avg_grid_pos,-0.0035593220338983487,0.0065731252303950225
finish_rate_prev5,-0.00406779661016955,0.003551241837246948
avg_const_finish,-0.004830508474576311,0.003216992016288519
