iter	Logloss
0	0.6800058845
1	0.6681790914
2	0.6589098753
3	0.6503729174
4	0.6390868582
5	0.6252295884
6	0.6148351054
7	0.6047554211
8	0.5976088109
9	0.5879649548
10	0.5786080995
11	0.5694665254
12	0.5608093546
13	0.555082931
14	0.5455188767
15	0.537470608
16	0.5298311042
17	0.5213645189
18	0.5161454798
19	0.5115331387
20	0.5034370705
21	0.4968491139
22	0.4879773965
23	0.4829831088
24	0.4764355633
25	0.4698617302
26	0.4639308017
27	0.4565468679
28	0.4506402678
29	0.4462749653
30	0.4408903222
31	0.4342455042
32	0.4294121671
33	0.4255591475
34	0.420292758
35	0.416644529
36	0.4110896283
37	0.4052159286
38	0.4013690727
39	0.3965733302
40	0.393478285
41	0.3886874409
42	0.3858577622
43	0.3816201427
44	0.3786634342
45	0.3744470407
46	0.3689894126
47	0.3665884595
48	0.3619554638
49	0.3590533308
50	0.355743535
51	0.354096801
52	0.3516329453
53	0.3482979639
54	0.3450435191
55	0.3433625377
56	0.3404662622
57	0.338180685
58	0.3341252422
59	0.3314526976
60	0.3296407065
61	0.3268676851
62	0.3252881805
63	0.322571898
64	0.3205447685
65	0.3189343636
66	0.3158966288
67	0.3140211635
68	0.3108790332
69	0.3089110509
70	0.3065165881
71	0.3041374529
72	0.3023735878
73	0.3008752933
74	0.2981889518
75	0.2959979734
76	0.2932958144
77	0.2911042645
78	0.2890872378
79	0.2874856295
80	0.285792688
81	0.2840241695
82	0.2825489379
83	0.2800057702
84	0.2789296906
85	0.2778367935
86	0.2768672116
87	0.2749127201
88	0.2738411306
89	0.2714359936
90	0.2698204863
91	0.2683469896
92	0.2663731701
93	0.2644323123
94	0.2623319325
95	0.2600581316
96	0.2590870598
97	0.257667465
98	0.2565662407
99	0.2559188459
100	0.2540053983
101	0.2529925274
102	0.2513317516
103	0.2495488238
104	0.2478183284
105	0.2467444531
106	0.2460607087
107	0.2451936037
108	0.2436953296
109	0.2426051266
110	0.2415217403
111	0.2395561664
112	0.2382094545
113	0.237387659
114	0.2363764618
115	0.235013463
116	0.2342685508
117	0.2325569548
118	0.2314837326
119	0.2307468209
120	0.22996909
121	0.2293208583
122	0.227788194
123	0.2261060696
124	0.2251079549
125	0.2243011606
126	0.223477018
127	0.2223256063
128	0.22077292
129	0.2201199534
130	0.2194030228
131	0.2186923784
132	0.2176208502
133	0.2170846472
134	0.2164413548
135	0.2155308793
136	0.214759312
137	0.2135618357
138	0.212760205
139	0.2119479612
140	0.2104767095
141	0.2095348848
142	0.2088637535
143	0.2075796585
144	0.2067240238
145	0.2062818279
146	0.2057386652
147	0.2049980799
148	0.2036742677
149	0.2028538192
150	0.2023990509
151	0.2015865826
152	0.2006215725
153	0.1996389284
154	0.1985282952
155	0.1979938271
156	0.1970087339
157	0.1960544184
158	0.1955169297
159	0.1947461584
160	0.1942960026
161	0.1935956651
162	0.1925618948
163	0.1921052692
164	0.1914614665
165	0.1908778519
166	0.190252275
167	0.1893439629
168	0.1887376936
169	0.1877570088
170	0.1873655717
171	0.1864854658
172	0.1853590559
173	0.1846665966
174	0.1839517274
175	0.1833944413
176	0.1829339786
177	0.1823130143
178	0.1818635321
179	0.1810132243
180	0.1803346027
181	0.1796552055
182	0.1792154995
183	0.1787992647
184	0.1782375088
185	0.1773632401
186	0.1770012541
187	0.1766702501
188	0.1756969536
189	0.1752671667
190	0.1745945455
191	0.174144349
192	0.1735761437
193	0.1732136883
194	0.1729782423
195	0.1722712512
196	0.1718943866
197	0.1714882954
198	0.1710500385
199	0.1702892271

142
8
